-6016660.7542280666530132	-3868710.2635027789510787	0.0000000000000000	-593.0512307634350009	922.3197971280300180	7383.8752726292996158	0.0000000000000000	
-6016722.4109339220449328	-3868614.2962811905890703	768.1082538896819187	-592.3687202769608575	922.7586503624099805	7383.8752272935826113	0.1040250853556017	
-6016906.9338373765349388	-3868326.1539307893253863	3072.1675020743127789	-590.3213827637024451	924.0749930810266051	7383.8745672412997010	0.4160643953115368	
-6017212.9819958154112101	-3867845.1149243027903140	6911.3807511648819855	-586.9098005403706111	926.2681741822660797	7383.8717212426909100	0.9360101039561641	
-6017638.3228371161967516	-3867169.9784811721183360	12284.4181716722996498	-582.1349457265049523	929.3371080047426176	7383.8640735998460514	1.6636825428366819	
-6018179.8356574736535549	-3866299.0672129485756159	19189.4148463502933737	-575.9981826237395808	933.2802735943057542	7383.8479686727569060	2.5988302630438511	
-6018833.5165172535926104	-3865230.2308229422196746	27623.9676360597695748	-568.5012710302592041	938.0957136879366089	7383.8187172128136808	3.7411301221011399	
-6019594.4845337299630046	-3863960.8508561914786696	37585.1311812689891667	-559.6463704739833247	943.7810334245723425	7383.7706045006734712	5.0901873956269128	
-6020456.9895691508427262	-3862487.8464946765452623	49069.4130623898672638	-549.4360453433877183	950.3333987957059890	7383.6969002845225987	6.6455359137326013	
-6021414.4213121188804507	-3860807.6813915031962097	62072.7681471590694855	-537.8732708902994091	957.7495348513645013	7383.5898705136687568	8.4066382221086542	
-6022459.3197497259825468	-3858916.3715365924872458	76590.5921581915463321	-524.9614400745002740	966.0257236797638143	7383.4407908613493419	10.3728857677432416	
-6023583.3870272962376475	-3856809.4941451554186642	92617.7144986723578768	-510.7043712155472690	975.1578021815802231	7383.2399620293954285	12.5435991092093673	
-6024777.5006918711587787	-3854482.1975589678622782	110148.3903788305178750	-495.1063164129011511	985.1411596623125888	7382.9767268261384743	14.9180281514467197	
-6026031.7283147592097521	-3851929.2121491217985749	129176.2922904320002999	-478.1719706912290349	995.9707352686857575	7382.6394890074825526	17.4953524049595899	
-6027335.3434875998646021	-3849144.8622075803577900	149694.5008809345599730	-459.9064818236539622	1007.6410152973952563	7382.2157338695478757	20.2746812693388847	
-6028676.8431853065267205	-3846123.0788134434260428	171695.4952832084672991	-440.3154607817641022	1020.1460304067529705	7381.6920505795987992	23.2550543410102364	
-6030043.9664881350472569	-3842857.4136583739891648	195171.1429607933969237	-419.4049927573868217	1033.4793527639069453	7381.0541562301450540	26.4354417451047539	
-6031423.7146538291126490	-3839341.0538141173310578	220112.6891325587057509	-397.1816486974731788	1047.6340931623267352	7380.2869215991149758	29.8147444913342952	
-6032802.3725293446332216	-3835566.8374234889633954	246510.7458442710048985	-373.6524972899960062	1062.6028981460765408	7379.3743985968812922	33.3917948537499569	
-6034165.5312901167199016	-3831527.2702945917844772	274355.2807580535882153	-348.8251173354545358	1078.3779471791222022	7378.2998493785971732	37.1653567742529276	
-6035498.1124930959194899	-3827214.5433763493783772	303635.6057338737300597	-322.7076104355494408	1094.9509498994445948	7377.0457770978700864	41.1341262897166189	
-6036784.3934279186651111	-3822620.5510917357169092	334340.3652802048018202	-295.3086139277081656	1112.3131434991164497	7375.5939582751479975	45.2967319825746699	
-6038008.0337485959753394	-3817736.9105033217929304	366457.5249535994371399	-266.6373139915731940	1130.4552902726763932	7373.9254767514466948	49.6517354547177092	
-6039152.1033658990636468	-3812554.9812839278019965	399974.3597894046106376	-236.7034588511569950	1149.3676753771699168	7372.0207591950893402	54.1976318245341417	
-6040199.1115783685818315	-3807065.8864633650518954	434877.4428478419431485	-205.5173719943136916	1169.0401048480111967	7369.8596121260861764	58.9328502469267050	
-6041131.0374173959717155	-3801260.5339203099720180	471152.6339615613105707	-173.0899653292934204	1189.4619039154893017	7367.4212604195308813	63.8557544561209625	
-6041929.3611792661249638	-3795129.6385864941403270	508785.0687721585272811	-139.4327521966370682	1210.6219156671356814	7364.6843872461013234	68.9646433310809925	
-6042575.0971143255010247	-3788663.7453283974900842	547759.1481443661032245	-104.5578601533427445	1232.5085001014365389	7361.6271754042463726	74.2577514833353689	
-6043048.8272406198084354	-3781853.2524697096087039	588058.5280473426682875	-68.4780434452583222	1255.1095336183948348	7358.2273499950943005	79.7332498670118639	
-6043330.7362463930621743	-3774688.4359158263541758	629666.1099929948104545	-31.2066950829594134	1278.4124089922977419	7354.4622223874239353	85.3892464108683953	
-6043400.6474427711218596	-3767159.4738396843895316	672564.0321213067509234	7.2421415640807254	1302.4040358716592891	7350.3087354162389602	91.2237866721016530	
-6043238.0597248384729028	-3759256.4718862455338240	716733.6610224008327350	46.8537617402811293	1327.0708418507329043	7345.7435097545885583	97.2348545117113190	
-6042822.1854960620403290	-3750969.4888510019518435	762155.5843843565089628	87.6127889288098913	1352.3987741561882103	7340.7428913942876534	103.4203727911797728	
-6042131.9895077338442206	-3742288.5627859174273908	808809.6045548358233646	129.5031652130015800	1378.3733019914541273	7335.2830001670981801	109.7782040902326912	
-6041146.2285617608577013	-3733203.7374843331053853	856674.7331030735513195	172.5081424579854001	1404.9794195799872796	7329.3397792338073486	116.3061514454306007	
-6039843.4920217487961054	-3723705.0892944834195077	905729.1864670680370182	216.6102743949146543	1432.2016499471319548	7322.8890454644397323	123.0019591093328586	
-6038202.2430739114060998	-3713782.7542094988748431	955950.3827685028081760	261.7914096884824176	1460.0240494784345628	7315.9065406287127189	129.8633133299785527	
-6036200.8606759691610932	-3703426.9551800009794533	1007314.9398754911962897	308.0326860665121558	1488.4302132901873392	7308.3679833116384543	136.8878431504069226	
